Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso (5-10 anos);;Obesidade (5-10 anos);;Obesidade grave (5-10 anos);;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;322;2.19%;533;3.62%;10.426;70.83%;1.957;13.3%;941;6.39%;540;3.67%;14.719
TOTAL ESTADO DISTRITO FEDERAL;;;;;322;2.19%;533;3.62%;10.426;70.83%;1.957;13.3%;941;6.39%;540;3.67%;14.719
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;9;4.74%;6;3.16%;108;56.84%;29;15.26%;21;11.05%;17;8.95%;190
CENTRO-OESTE;52;GO;520010;ABADIANIA;4;1.83%;5;2.29%;144;66.06%;34;15.6%;14;6.42%;17;7.8%;218
CENTRO-OESTE;52;GO;520013;ACREUNA;27;6.72%;22;5.47%;251;62.44%;52;12.94%;28;6.97%;22;5.47%;402
CENTRO-OESTE;52;GO;520015;ADELANDIA;0;-;3;4.84%;44;70.97%;6;9.68%;7;11.29%;2;3.23%;62
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;9;4.76%;10;5.29%;130;68.78%;24;12.7%;10;5.29%;6;3.17%;189
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;2;5.41%;2;5.41%;20;54.05%;8;21.62%;4;10.81%;1;2.7%;37
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;71;2.87%;82;3.32%;1.697;68.62%;278;11.24%;166;6.71%;179;7.24%;2.473
CENTRO-OESTE;52;GO;520030;ALEXANIA;20;2.92%;27;3.94%;457;66.72%;113;16.5%;43;6.28%;25;3.65%;685
CENTRO-OESTE;52;GO;520050;ALOANDIA;1;1.67%;1;1.67%;35;58.33%;10;16.67%;5;8.33%;8;13.33%;60
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;0;-;4;3.74%;60;56.07%;26;24.3%;11;10.28%;6;5.61%;107
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;6;4%;4;2.67%;110;73.33%;10;6.67%;8;5.33%;12;8%;150
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;10;3.52%;11;3.87%;194;68.31%;39;13.73%;19;6.69%;11;3.87%;284
CENTRO-OESTE;52;GO;520082;AMARALINA;4;6.78%;1;1.69%;39;66.1%;9;15.25%;3;5.08%;3;5.08%;59
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;3;2.29%;4;3.05%;88;67.18%;22;16.79%;8;6.11%;6;4.58%;131
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;1;1.14%;2;2.27%;46;52.27%;22;25%;14;15.91%;3;3.41%;88
CENTRO-OESTE;52;GO;520110;ANAPOLIS;106;2.83%;114;3.04%;2.369;63.24%;598;15.96%;321;8.57%;238;6.35%;3.746
CENTRO-OESTE;52;GO;520120;ANHANGUERA;0;-;0;-;7;87.5%;1;12.5%;0;-;0;-;8
CENTRO-OESTE;52;GO;520130;ANICUNS;16;3.84%;17;4.08%;235;56.35%;57;13.67%;57;13.67%;35;8.39%;417
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;24;0.62%;30;0.77%;3.577;92.02%;165;4.24%;50;1.29%;41;1.05%;3.887
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;0;-;1;1.72%;33;56.9%;4;6.9%;10;17.24%;10;17.24%;58
CENTRO-OESTE;52;GO;520150;APORE;1;1.06%;3;3.19%;62;65.96%;10;10.64%;11;11.7%;7;7.45%;94
CENTRO-OESTE;52;GO;520160;ARACU;1;0.98%;1;0.98%;62;60.78%;16;15.69%;13;12.75%;9;8.82%;102
CENTRO-OESTE;52;GO;520170;ARAGARCAS;5;1.53%;6;1.84%;157;48.16%;49;15.03%;41;12.58%;68;20.86%;326
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;6;2.2%;16;5.86%;151;55.31%;54;19.78%;33;12.09%;13;4.76%;273
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;2;1.04%;2;1.04%;141;73.44%;31;16.15%;12;6.25%;4;2.08%;192
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;0;-;3;5%;37;61.67%;13;21.67%;1;1.67%;6;10%;60
CENTRO-OESTE;52;GO;520250;ARUANA;7;3.95%;14;7.91%;122;68.93%;21;11.86%;9;5.08%;4;2.26%;177
CENTRO-OESTE;52;GO;520260;AURILANDIA;2;2.56%;0;-;56;71.79%;13;16.67%;6;7.69%;1;1.28%;78
