Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso (5-10 anos);;Obesidade (5-10 anos);;Obesidade grave (5-10 anos);;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;334;2.16%;489;3.16%;10.917;70.57%;2.245;14.51%;973;6.29%;511;3.3%;15.469
TOTAL ESTADO DISTRITO FEDERAL;;;;;334;2.16%;489;3.16%;10.917;70.57%;2.245;14.51%;973;6.29%;511;3.3%;15.469
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;2;1.02%;6;3.05%;145;73.6%;20;10.15%;15;7.61%;9;4.57%;197
CENTRO-OESTE;52;GO;520010;ABADIANIA;9;3.64%;17;6.88%;135;54.66%;45;18.22%;30;12.15%;11;4.45%;247
CENTRO-OESTE;52;GO;520013;ACREUNA;5;1.87%;8;2.99%;186;69.4%;37;13.81%;18;6.72%;14;5.22%;268
CENTRO-OESTE;52;GO;520015;ADELANDIA;2;1.49%;9;6.72%;84;62.69%;19;14.18%;13;9.7%;7;5.22%;134
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;11;4.6%;11;4.6%;165;69.04%;29;12.13%;16;6.69%;7;2.93%;239
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;0;-;3;3.41%;43;48.86%;23;26.14%;13;14.77%;6;6.82%;88
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;134;3.2%;134;3.2%;2.967;70.95%;553;13.22%;252;6.03%;142;3.4%;4.182
CENTRO-OESTE;52;GO;520030;ALEXANIA;17;2.14%;24;3.02%;413;51.95%;197;24.78%;104;13.08%;40;5.03%;795
CENTRO-OESTE;52;GO;520050;ALOANDIA;2;3.45%;3;5.17%;37;63.79%;8;13.79%;7;12.07%;1;1.72%;58
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;8;6.56%;10;8.2%;67;54.92%;22;18.03%;13;10.66%;2;1.64%;122
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;9;3.11%;14;4.84%;211;73.01%;32;11.07%;13;4.5%;10;3.46%;289
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;5;1.01%;28;5.68%;346;70.18%;64;12.98%;41;8.32%;9;1.83%;493
CENTRO-OESTE;52;GO;520082;AMARALINA;3;1.82%;7;4.24%;113;68.48%;24;14.55%;12;7.27%;6;3.64%;165
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;5;3.52%;2;1.41%;84;59.15%;28;19.72%;17;11.97%;6;4.23%;142
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;4;3.81%;1;0.95%;50;47.62%;28;26.67%;10;9.52%;12;11.43%;105
CENTRO-OESTE;52;GO;520110;ANAPOLIS;87;2.63%;108;3.27%;2.091;63.25%;522;15.79%;299;9.04%;199;6.02%;3.306
CENTRO-OESTE;52;GO;520120;ANHANGUERA;0;-;1;1.96%;27;52.94%;17;33.33%;5;9.8%;1;1.96%;51
CENTRO-OESTE;52;GO;520130;ANICUNS;19;2.26%;22;2.62%;541;64.4%;135;16.07%;85;10.12%;38;4.52%;840
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;23;2.46%;31;3.32%;711;76.04%;110;11.76%;38;4.06%;22;2.35%;935
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;1;7.69%;0;-;10;76.92%;2;15.38%;0;-;0;-;13
CENTRO-OESTE;52;GO;520150;APORE;1;1.33%;0;-;43;57.33%;16;21.33%;8;10.67%;7;9.33%;75
CENTRO-OESTE;52;GO;520160;ARACU;2;1.12%;4;2.25%;114;64.04%;36;20.22%;14;7.87%;8;4.49%;178
CENTRO-OESTE;52;GO;520170;ARAGARCAS;13;2.65%;36;7.33%;324;65.99%;70;14.26%;26;5.3%;22;4.48%;491
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;11;2.14%;17;3.31%;323;62.84%;108;21.01%;40;7.78%;15;2.92%;514
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;6;1.73%;4;1.16%;143;41.33%;65;18.79%;55;15.9%;73;21.1%;346
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;2;2.99%;2;2.99%;42;62.69%;9;13.43%;8;11.94%;4;5.97%;67
CENTRO-OESTE;52;GO;520250;ARUANA;1;1.02%;3;3.06%;55;56.12%;21;21.43%;12;12.24%;6;6.12%;98
