Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso (5-10 anos);;Obesidade (5-10 anos);;Obesidade grave (5-10 anos);;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;1.220;1.85%;2.967;4.49%;45.106;68.33%;8.814;13.35%;5.083;7.7%;2.821;4.27%;66.011
TOTAL ESTADO DISTRITO FEDERAL;;;;;1.220;1.85%;2.967;4.49%;45.106;68.33%;8.814;13.35%;5.083;7.7%;2.821;4.27%;66.011
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;22;3.36%;34;5.2%;456;69.72%;75;11.47%;38;5.81%;29;4.43%;654
CENTRO-OESTE;52;GO;520010;ABADIANIA;7;1.1%;20;3.13%;420;65.73%;104;16.28%;43;6.73%;45;7.04%;639
CENTRO-OESTE;52;GO;520013;ACREUNA;16;2.26%;26;3.67%;457;64.46%;106;14.95%;66;9.31%;38;5.36%;709
CENTRO-OESTE;52;GO;520015;ADELANDIA;0;-;3;4.62%;36;55.38%;14;21.54%;7;10.77%;5;7.69%;65
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;6;2.82%;7;3.29%;140;65.73%;27;12.68%;20;9.39%;13;6.1%;213
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;1;1.02%;2;2.04%;62;63.27%;14;14.29%;7;7.14%;12;12.24%;98
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;158;2.14%;357;4.84%;5.140;69.64%;954;12.93%;495;6.71%;277;3.75%;7.381
CENTRO-OESTE;52;GO;520030;ALEXANIA;19;1.32%;66;4.58%;942;65.37%;226;15.68%;129;8.95%;59;4.09%;1.441
CENTRO-OESTE;52;GO;520050;ALOANDIA;0;-;0;-;16;50%;7;21.88%;6;18.75%;3;9.38%;32
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;2;0.78%;10;3.88%;173;67.05%;38;14.73%;25;9.69%;10;3.88%;258
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;3;0.62%;24;4.96%;355;73.35%;61;12.6%;30;6.2%;11;2.27%;484
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;15;3.21%;35;7.48%;307;65.6%;68;14.53%;26;5.56%;17;3.63%;468
CENTRO-OESTE;52;GO;520082;AMARALINA;2;1.14%;5;2.86%;124;70.86%;26;14.86%;14;8%;4;2.29%;175
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;2;1.44%;5;3.6%;91;65.47%;20;14.39%;15;10.79%;6;4.32%;139
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;1;1.37%;2;2.74%;38;52.05%;14;19.18%;16;21.92%;2;2.74%;73
CENTRO-OESTE;52;GO;520110;ANAPOLIS;240;2.29%;437;4.17%;6.569;62.63%;1.529;14.58%;1.059;10.1%;654;6.24%;10.488
CENTRO-OESTE;52;GO;520120;ANHANGUERA;1;1.39%;3;4.17%;40;55.56%;10;13.89%;15;20.83%;3;4.17%;72
CENTRO-OESTE;52;GO;520130;ANICUNS;10;1.02%;40;4.08%;642;65.44%;137;13.97%;96;9.79%;56;5.71%;981
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;110;0.88%;409;3.26%;8.630;68.87%;2.140;17.08%;792;6.32%;449;3.58%;12.530
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;1;0.6%;5;2.98%;109;64.88%;23;13.69%;15;8.93%;15;8.93%;168
CENTRO-OESTE;52;GO;520150;APORE;4;2.61%;11;7.19%;102;66.67%;19;12.42%;11;7.19%;6;3.92%;153
CENTRO-OESTE;52;GO;520160;ARACU;0;-;3;1.2%;146;58.4%;40;16%;35;14%;26;10.4%;250
CENTRO-OESTE;52;GO;520170;ARAGARCAS;6;1.12%;15;2.79%;236;43.95%;58;10.8%;58;10.8%;164;30.54%;537
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;14;2.84%;12;2.43%;317;64.3%;80;16.23%;40;8.11%;30;6.09%;493
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;4;1.23%;22;6.77%;190;58.46%;51;15.69%;25;7.69%;33;10.15%;325
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;2;1.44%;7;5.04%;95;68.35%;17;12.23%;8;5.76%;10;7.19%;139
CENTRO-OESTE;52;GO;520250;ARUANA;4;1.31%;5;1.64%;179;58.69%;47;15.41%;28;9.18%;42;13.77%;305
