Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso (5-10 anos);;Obesidade (5-10 anos);;Obesidade grave (5-10 anos);;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;339;2.2%;504;3.28%;10.728;69.72%;2.283;14.84%;965;6.27%;568;3.69%;15.387
TOTAL ESTADO DISTRITO FEDERAL;;;;;339;2.2%;504;3.28%;10.728;69.72%;2.283;14.84%;965;6.27%;568;3.69%;15.387
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;4;2.94%;2;1.47%;55;40.44%;20;14.71%;30;22.06%;25;18.38%;136
CENTRO-OESTE;52;GO;520010;ABADIANIA;22;9.61%;9;3.93%;124;54.15%;44;19.21%;18;7.86%;12;5.24%;229
CENTRO-OESTE;52;GO;520013;ACREUNA;11;3.74%;13;4.42%;201;68.37%;33;11.22%;14;4.76%;22;7.48%;294
CENTRO-OESTE;52;GO;520015;ADELANDIA;1;1.35%;4;5.41%;44;59.46%;10;13.51%;8;10.81%;7;9.46%;74
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;6;3.14%;10;5.24%;126;65.97%;31;16.23%;12;6.28%;6;3.14%;191
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;0;-;0;-;22;56.41%;8;20.51%;5;12.82%;4;10.26%;39
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;81;2.68%;78;2.58%;2.116;70%;428;14.16%;182;6.02%;138;4.57%;3.023
CENTRO-OESTE;52;GO;520030;ALEXANIA;10;1.31%;21;2.76%;389;51.05%;195;25.59%;100;13.12%;47;6.17%;762
CENTRO-OESTE;52;GO;520050;ALOANDIA;1;1.96%;0;-;22;43.14%;11;21.57%;12;23.53%;5;9.8%;51
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;1;0.8%;3;2.4%;78;62.4%;32;25.6%;9;7.2%;2;1.6%;125
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;10;2.66%;16;4.26%;275;73.14%;43;11.44%;21;5.59%;11;2.93%;376
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;9;1.63%;13;2.35%;350;63.29%;100;18.08%;67;12.12%;14;2.53%;553
CENTRO-OESTE;52;GO;520082;AMARALINA;2;1.6%;2;1.6%;83;66.4%;29;23.2%;3;2.4%;6;4.8%;125
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;3;1.65%;6;3.3%;107;58.79%;29;15.93%;21;11.54%;16;8.79%;182
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;2;2%;1;1%;56;56%;25;25%;12;12%;4;4%;100
CENTRO-OESTE;52;GO;520110;ANAPOLIS;98;2.51%;115;2.95%;2.449;62.76%;649;16.63%;341;8.74%;250;6.41%;3.902
CENTRO-OESTE;52;GO;520120;ANHANGUERA;0;-;1;2.56%;17;43.59%;8;20.51%;9;23.08%;4;10.26%;39
CENTRO-OESTE;52;GO;520130;ANICUNS;15;2.08%;14;1.94%;472;65.37%;103;14.27%;68;9.42%;50;6.93%;722
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;22;2.24%;27;2.76%;712;72.65%;131;13.37%;53;5.41%;35;3.57%;980
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;0;-;0;-;16;88.89%;0;-;0;-;2;11.11%;18
CENTRO-OESTE;52;GO;520150;APORE;1;2%;1;2%;27;54%;10;20%;6;12%;5;10%;50
CENTRO-OESTE;52;GO;520160;ARACU;1;0.74%;2;1.47%;74;54.41%;32;23.53%;22;16.18%;5;3.68%;136
CENTRO-OESTE;52;GO;520170;ARAGARCAS;5;1.36%;4;1.09%;302;82.07%;43;11.68%;7;1.9%;7;1.9%;368
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;12;2.42%;14;2.82%;334;67.34%;84;16.94%;35;7.06%;17;3.43%;496
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;3;1.75%;0;-;56;32.75%;28;16.37%;20;11.7%;64;37.43%;171
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;1;1.2%;3;3.61%;53;63.86%;12;14.46%;10;12.05%;4;4.82%;83
CENTRO-OESTE;52;GO;520250;ARUANA;1;1.27%;1;1.27%;40;50.63%;16;20.25%;13;16.46%;8;10.13%;79
CENTRO-OESTE;52;GO;520260;AURILANDIA;3;3.75%;2;2.5%;51;63.75%;14;17.5%;7;8.75%;3;3.75%;80
