Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso (5-10 anos);;Obesidade (5-10 anos);;Obesidade grave (5-10 anos);;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;849;2.12%;1.772;4.42%;26.417;65.94%;5.557;13.87%;3.346;8.35%;2.122;5.3%;40.063
TOTAL ESTADO DISTRITO FEDERAL;;;;;849;2.12%;1.772;4.42%;26.417;65.94%;5.557;13.87%;3.346;8.35%;2.122;5.3%;40.063
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;10;1.75%;23;4.01%;403;70.33%;73;12.74%;44;7.68%;20;3.49%;573
CENTRO-OESTE;52;GO;520010;ABADIANIA;7;2.23%;11;3.5%;193;61.46%;47;14.97%;28;8.92%;28;8.92%;314
CENTRO-OESTE;52;GO;520013;ACREUNA;9;2.4%;18;4.8%;232;61.87%;53;14.13%;27;7.2%;36;9.6%;375
CENTRO-OESTE;52;GO;520015;ADELANDIA;1;1.05%;4;4.21%;62;65.26%;10;10.53%;14;14.74%;4;4.21%;95
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;2;0.83%;11;4.58%;146;60.83%;44;18.33%;26;10.83%;11;4.58%;240
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;1;0.85%;2;1.69%;64;54.24%;21;17.8%;21;17.8%;9;7.63%;118
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;127;2.48%;251;4.9%;3.586;69.96%;607;11.84%;345;6.73%;210;4.1%;5.126
CENTRO-OESTE;52;GO;520030;ALEXANIA;23;1.6%;74;5.14%;947;65.81%;192;13.34%;129;8.96%;74;5.14%;1.439
CENTRO-OESTE;52;GO;520050;ALOANDIA;1;1.92%;1;1.92%;28;53.85%;11;21.15%;7;13.46%;4;7.69%;52
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;6;1.46%;14;3.41%;277;67.4%;51;12.41%;43;10.46%;20;4.87%;411
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;8;2.46%;12;3.69%;222;68.31%;58;17.85%;18;5.54%;7;2.15%;325
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;8;1.98%;33;8.17%;278;68.81%;38;9.41%;32;7.92%;15;3.71%;404
CENTRO-OESTE;52;GO;520082;AMARALINA;1;0.52%;6;3.14%;136;71.2%;27;14.14%;18;9.42%;3;1.57%;191
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;2;1.44%;10;7.19%;71;51.08%;23;16.55%;14;10.07%;19;13.67%;139
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;1;0.93%;2;1.85%;54;50%;22;20.37%;19;17.59%;10;9.26%;108
CENTRO-OESTE;52;GO;520110;ANAPOLIS;123;2.1%;238;4.07%;3.535;60.47%;899;15.38%;621;10.62%;430;7.36%;5.846
CENTRO-OESTE;52;GO;520120;ANHANGUERA;0;-;4;4.71%;51;60%;17;20%;11;12.94%;2;2.35%;85
CENTRO-OESTE;52;GO;520130;ANICUNS;16;1.69%;36;3.81%;583;61.69%;142;15.03%;105;11.11%;63;6.67%;945
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;132;2.15%;249;4.06%;4.239;69.04%;771;12.56%;449;7.31%;300;4.89%;6.140
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;6;4.88%;4;3.25%;66;53.66%;24;19.51%;13;10.57%;10;8.13%;123
CENTRO-OESTE;52;GO;520150;APORE;5;2.78%;4;2.22%;106;58.89%;29;16.11%;20;11.11%;16;8.89%;180
CENTRO-OESTE;52;GO;520160;ARACU;3;1.4%;4;1.86%;116;53.95%;39;18.14%;30;13.95%;23;10.7%;215
CENTRO-OESTE;52;GO;520170;ARAGARCAS;25;5.26%;21;4.42%;306;64.42%;56;11.79%;41;8.63%;26;5.47%;475
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;6;0.93%;23;3.56%;375;58.05%;104;16.1%;83;12.85%;55;8.51%;646
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;7;4.4%;6;3.77%;99;62.26%;21;13.21%;14;8.81%;12;7.55%;159
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;4;2.86%;6;4.29%;84;60%;21;15%;15;10.71%;10;7.14%;140
CENTRO-OESTE;52;GO;520250;ARUANA;2;1.34%;1;0.67%;70;46.98%;13;8.72%;11;7.38%;52;34.9%;149
