Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso (5-10 anos);;Obesidade (5-10 anos);;Obesidade grave (5-10 anos);;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;987;1.86%;2.474;4.67%;36.066;68.13%;6.945;13.12%;4.132;7.81%;2.333;4.41%;52.937
TOTAL ESTADO DISTRITO FEDERAL;;;;;987;1.86%;2.474;4.67%;36.066;68.13%;6.945;13.12%;4.132;7.81%;2.333;4.41%;52.937
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;7;1.65%;20;4.71%;304;71.53%;65;15.29%;19;4.47%;10;2.35%;425
CENTRO-OESTE;52;GO;520010;ABADIANIA;7;1.25%;18;3.23%;374;67.03%;80;14.34%;40;7.17%;39;6.99%;558
CENTRO-OESTE;52;GO;520013;ACREUNA;11;1.31%;47;5.6%;539;64.24%;129;15.38%;66;7.87%;47;5.6%;839
CENTRO-OESTE;52;GO;520015;ADELANDIA;1;1.09%;3;3.26%;63;68.48%;13;14.13%;7;7.61%;5;5.43%;92
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;7;2.88%;7;2.88%;158;65.02%;29;11.93%;25;10.29%;17;7%;243
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;1;0.75%;3;2.26%;65;48.87%;23;17.29%;22;16.54%;19;14.29%;133
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;136;2.16%;302;4.8%;4.470;71.04%;760;12.08%;412;6.55%;212;3.37%;6.292
CENTRO-OESTE;52;GO;520030;ALEXANIA;22;1.54%;52;3.64%;962;67.27%;205;14.34%;126;8.81%;63;4.41%;1.430
CENTRO-OESTE;52;GO;520050;ALOANDIA;0;-;4;8.16%;22;44.9%;11;22.45%;7;14.29%;5;10.2%;49
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;2;0.83%;15;6.25%;165;68.75%;30;12.5%;17;7.08%;11;4.58%;240
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;3;0.74%;10;2.46%;182;44.72%;52;12.78%;83;20.39%;77;18.92%;407
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;14;3.35%;28;6.7%;273;65.31%;59;14.11%;29;6.94%;15;3.59%;418
CENTRO-OESTE;52;GO;520082;AMARALINA;2;1.16%;4;2.31%;113;65.32%;28;16.18%;18;10.4%;8;4.62%;173
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;4;2.56%;3;1.92%;100;64.1%;25;16.03%;11;7.05%;13;8.33%;156
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;0;-;4;4%;54;54%;11;11%;14;14%;17;17%;100
CENTRO-OESTE;52;GO;520110;ANAPOLIS;195;2.74%;323;4.53%;4.343;60.92%;1.094;15.35%;680;9.54%;494;6.93%;7.129
CENTRO-OESTE;52;GO;520120;ANHANGUERA;1;1.25%;3;3.75%;44;55%;16;20%;14;17.5%;2;2.5%;80
CENTRO-OESTE;52;GO;520130;ANICUNS;15;1.57%;30;3.14%;612;64.08%;137;14.35%;108;11.31%;53;5.55%;955
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;190;1.75%;380;3.5%;7.253;66.73%;2.054;18.9%;671;6.17%;321;2.95%;10.869
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;2;0.99%;8;3.96%;128;63.37%;23;11.39%;25;12.38%;16;7.92%;202
CENTRO-OESTE;52;GO;520150;APORE;2;0.89%;7;3.11%;153;68%;34;15.11%;12;5.33%;17;7.56%;225
CENTRO-OESTE;52;GO;520160;ARACU;0;-;7;2.82%;149;60.08%;35;14.11%;36;14.52%;21;8.47%;248
CENTRO-OESTE;52;GO;520170;ARAGARCAS;9;2.13%;20;4.74%;291;68.96%;51;12.09%;32;7.58%;19;4.5%;422
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;15;2.08%;15;2.08%;437;60.61%;141;19.56%;76;10.54%;37;5.13%;721
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;4;2.12%;10;5.29%;128;67.72%;22;11.64%;16;8.47%;9;4.76%;189
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;4;2.9%;7;5.07%;82;59.42%;18;13.04%;10;7.25%;17;12.32%;138
CENTRO-OESTE;52;GO;520250;ARUANA;1;0.41%;3;1.24%;59;24.48%;22;9.13%;56;23.24%;100;41.49%;241
