Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso (5-10 anos);;Obesidade (5-10 anos);;Obesidade grave (5-10 anos);;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;292;1.32%;647;2.92%;15.420;69.67%;3.403;15.37%;1.641;7.41%;731;3.3%;22.134
TOTAL ESTADO DISTRITO FEDERAL;;;;;292;1.32%;647;2.92%;15.420;69.67%;3.403;15.37%;1.641;7.41%;731;3.3%;22.134
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;14;3.44%;17;4.18%;273;67.08%;61;14.99%;18;4.42%;24;5.9%;407
CENTRO-OESTE;52;GO;520010;ABADIANIA;7;2.81%;13;5.22%;143;57.43%;43;17.27%;32;12.85%;11;4.42%;249
CENTRO-OESTE;52;GO;520013;ACREUNA;6;1.75%;22;6.43%;238;69.59%;33;9.65%;21;6.14%;22;6.43%;342
CENTRO-OESTE;52;GO;520015;ADELANDIA;6;4.08%;2;1.36%;99;67.35%;24;16.33%;11;7.48%;5;3.4%;147
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;3;1.28%;10;4.26%;171;72.77%;28;11.91%;16;6.81%;7;2.98%;235
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;0;-;2;2.25%;46;51.69%;16;17.98%;15;16.85%;10;11.24%;89
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;91;2.31%;123;3.13%;2.903;73.81%;503;12.79%;213;5.42%;100;2.54%;3.933
CENTRO-OESTE;52;GO;520030;ALEXANIA;25;3.13%;36;4.51%;481;60.2%;131;16.4%;81;10.14%;45;5.63%;799
CENTRO-OESTE;52;GO;520050;ALOANDIA;2;4.35%;2;4.35%;17;36.96%;14;30.43%;5;10.87%;6;13.04%;46
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;2;1.82%;3;2.73%;84;76.36%;7;6.36%;9;8.18%;5;4.55%;110
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;6;2.76%;3;1.38%;167;76.96%;20;9.22%;14;6.45%;7;3.23%;217
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;7;1.56%;19;4.22%;343;76.22%;49;10.89%;22;4.89%;10;2.22%;450
CENTRO-OESTE;52;GO;520082;AMARALINA;5;2.66%;8;4.26%;132;70.21%;25;13.3%;14;7.45%;4;2.13%;188
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;2;0.86%;6;2.58%;144;61.8%;50;21.46%;24;10.3%;7;3%;233
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;0;-;1;0.9%;57;51.35%;20;18.02%;15;13.51%;18;16.22%;111
CENTRO-OESTE;52;GO;520110;ANAPOLIS;101;3.61%;101;3.61%;1.730;61.81%;462;16.51%;251;8.97%;154;5.5%;2.799
CENTRO-OESTE;52;GO;520120;ANHANGUERA;0;-;0;-;28;52.83%;20;37.74%;4;7.55%;1;1.89%;53
CENTRO-OESTE;52;GO;520130;ANICUNS;19;2.14%;32;3.61%;546;61.63%;146;16.48%;87;9.82%;56;6.32%;886
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;14;0.74%;22;1.17%;1.022;54.19%;394;20.89%;313;16.6%;121;6.42%;1.886
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;0;-;1;3.23%;21;67.74%;6;19.35%;3;9.68%;0;-;31
CENTRO-OESTE;52;GO;520150;APORE;0;-;1;1.35%;47;63.51%;8;10.81%;12;16.22%;6;8.11%;74
CENTRO-OESTE;52;GO;520160;ARACU;3;2.38%;0;-;74;58.73%;29;23.02%;15;11.9%;5;3.97%;126
CENTRO-OESTE;52;GO;520170;ARAGARCAS;6;0.83%;11;1.53%;338;46.88%;148;20.53%;166;23.02%;52;7.21%;721
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;7;1.28%;17;3.11%;348;63.74%;108;19.78%;47;8.61%;19;3.48%;546
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;2;0.95%;4;1.9%;107;50.95%;49;23.33%;31;14.76%;17;8.1%;210
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;0;-;1;1.39%;47;65.28%;10;13.89%;10;13.89%;4;5.56%;72
CENTRO-OESTE;52;GO;520250;ARUANA;6;6.67%;2;2.22%;46;51.11%;18;20%;11;12.22%;7;7.78%;90
