Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso;;Obesidade;;Obesidade Grave;;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;133;0.95%;446;3.2%;8.468;60.72%;2.967;21.28%;1.547;11.09%;384;2.75%;13.945
TOTAL ESTADO DISTRITO FEDERAL;;;;;133;0.95%;446;3.2%;8.468;60.72%;2.967;21.28%;1.547;11.09%;384;2.75%;13.945
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;1;1.14%;1;1.14%;57;64.77%;17;19.32%;11;12.5%;1;1.14%;88
CENTRO-OESTE;52;GO;520010;ABADIANIA;2;0.9%;3;1.35%;147;65.92%;44;19.73%;20;8.97%;7;3.14%;223
CENTRO-OESTE;52;GO;520013;ACREUNA;0;-;3;2.42%;84;67.74%;13;10.48%;18;14.52%;6;4.84%;124
CENTRO-OESTE;52;GO;520015;ADELANDIA;0;-;2;2.67%;44;58.67%;19;25.33%;8;10.67%;2;2.67%;75
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;4;2.35%;2;1.18%;115;67.65%;40;23.53%;7;4.12%;2;1.18%;170
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;0;-;2;4.17%;27;56.25%;8;16.67%;8;16.67%;3;6.25%;48
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;23;0.98%;83;3.53%;1.547;65.86%;430;18.31%;205;8.73%;61;2.6%;2.349
CENTRO-OESTE;52;GO;520030;ALEXANIA;1;1.37%;2;2.74%;37;50.68%;17;23.29%;9;12.33%;7;9.59%;73
CENTRO-OESTE;52;GO;520050;ALOANDIA;1;7.14%;1;7.14%;6;42.86%;3;21.43%;3;21.43%;0;-;14
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;0;-;1;1.22%;54;65.85%;15;18.29%;7;8.54%;5;6.1%;82
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;3;2.03%;4;2.7%;84;56.76%;32;21.62%;15;10.14%;10;6.76%;148
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;0;-;2;2.11%;60;63.16%;20;21.05%;12;12.63%;1;1.05%;95
CENTRO-OESTE;52;GO;520082;AMARALINA;1;1.79%;2;3.57%;38;67.86%;8;14.29%;6;10.71%;1;1.79%;56
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;0;-;3;8.82%;19;55.88%;10;29.41%;1;2.94%;1;2.94%;34
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;0;-;3;4.35%;43;62.32%;13;18.84%;10;14.49%;0;-;69
CENTRO-OESTE;52;GO;520110;ANAPOLIS;44;1.15%;130;3.41%;2.432;63.77%;794;20.82%;335;8.78%;79;2.07%;3.814
CENTRO-OESTE;52;GO;520120;ANHANGUERA;0;-;2;3.7%;23;42.59%;12;22.22%;10;18.52%;7;12.96%;54
CENTRO-OESTE;52;GO;520130;ANICUNS;1;0.2%;11;2.17%;330;65.09%;109;21.5%;42;8.28%;14;2.76%;507
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;1;0.27%;15;4.07%;234;63.41%;78;21.14%;30;8.13%;11;2.98%;369
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;0;-;0;-;3;37.5%;1;12.5%;4;50%;0;-;8
CENTRO-OESTE;52;GO;520150;APORE;0;-;7;3.87%;107;59.12%;37;20.44%;22;12.15%;8;4.42%;181
CENTRO-OESTE;52;GO;520160;ARACU;0;-;1;2%;30;60%;9;18%;8;16%;2;4%;50
CENTRO-OESTE;52;GO;520170;ARAGARCAS;2;4.35%;2;4.35%;28;60.87%;12;26.09%;2;4.35%;0;-;46
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;1;0.68%;7;4.73%;87;58.78%;33;22.3%;12;8.11%;8;5.41%;148
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;0;-;2;3.85%;29;55.77%;13;25%;5;9.62%;3;5.77%;52
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;0;-;4;5.8%;33;47.83%;18;26.09%;10;14.49%;4;5.8%;69
CENTRO-OESTE;52;GO;520250;ARUANA;0;-;0;-;13;40.63%;12;37.5%;5;15.63%;2;6.25%;32
CENTRO-OESTE;52;GO;520260;AURILANDIA;0;-;1;3.13%;24;75%;3;9.38%;2;6.25%;2;6.25%;32
