Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Risco de sobrepeso;;Sobrepeso;;Obesidade;;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;455;2.42%;584;3.11%;12.739;67.79%;3.014;16.04%;1.144;6.09%;857;4.56%;18.793
TOTAL ESTADO DISTRITO FEDERAL;;;;;455;2.42%;584;3.11%;12.739;67.79%;3.014;16.04%;1.144;6.09%;857;4.56%;18.793
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;43;15.36%;40;14.29%;144;51.43%;26;9.29%;13;4.64%;14;5%;280
CENTRO-OESTE;52;GO;520010;ABADIANIA;11;4.07%;11;4.07%;147;54.44%;51;18.89%;26;9.63%;24;8.89%;270
CENTRO-OESTE;52;GO;520013;ACREUNA;20;5.39%;6;1.62%;240;64.69%;58;15.63%;29;7.82%;18;4.85%;371
CENTRO-OESTE;52;GO;520015;ADELANDIA;4;3.31%;8;6.61%;81;66.94%;18;14.88%;7;5.79%;3;2.48%;121
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;12;4.43%;7;2.58%;189;69.74%;43;15.87%;11;4.06%;9;3.32%;271
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;5;4.95%;2;1.98%;41;40.59%;31;30.69%;10;9.9%;12;11.88%;101
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;165;2.89%;193;3.38%;3.609;63.28%;995;17.45%;408;7.15%;333;5.84%;5.703
CENTRO-OESTE;52;GO;520030;ALEXANIA;29;3.09%;29;3.09%;455;48.46%;149;15.87%;105;11.18%;172;18.32%;939
CENTRO-OESTE;52;GO;520050;ALOANDIA;14;17.07%;8;9.76%;43;52.44%;12;14.63%;2;2.44%;3;3.66%;82
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;7;4.4%;3;1.89%;101;63.52%;22;13.84%;18;11.32%;8;5.03%;159
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;11;2.93%;26;6.91%;263;69.95%;40;10.64%;23;6.12%;13;3.46%;376
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;29;4.78%;26;4.28%;411;67.71%;86;14.17%;30;4.94%;25;4.12%;607
CENTRO-OESTE;52;GO;520082;AMARALINA;8;4.82%;7;4.22%;107;64.46%;28;16.87%;15;9.04%;1;0.6%;166
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;2;1.65%;7;5.79%;74;61.16%;13;10.74%;11;9.09%;14;11.57%;121
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;3;3.49%;3;3.49%;41;47.67%;17;19.77%;12;13.95%;10;11.63%;86
CENTRO-OESTE;52;GO;520110;ANAPOLIS;181;4.1%;189;4.28%;2.482;56.15%;776;17.56%;425;9.62%;367;8.3%;4.420
CENTRO-OESTE;52;GO;520120;ANHANGUERA;2;4.65%;0;-;23;53.49%;12;27.91%;5;11.63%;1;2.33%;43
CENTRO-OESTE;52;GO;520130;ANICUNS;16;2.31%;16;2.31%;467;67.39%;118;17.03%;49;7.07%;27;3.9%;693
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;46;2.44%;38;2.02%;1.248;66.21%;357;18.94%;135;7.16%;61;3.24%;1.885
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;1;2.78%;0;-;26;72.22%;4;11.11%;3;8.33%;2;5.56%;36
CENTRO-OESTE;52;GO;520150;APORE;5;6.67%;2;2.67%;37;49.33%;20;26.67%;6;8%;5;6.67%;75
CENTRO-OESTE;52;GO;520160;ARACU;6;4.32%;2;1.44%;76;54.68%;33;23.74%;15;10.79%;7;5.04%;139
CENTRO-OESTE;52;GO;520170;ARAGARCAS;15;2.44%;31;5.03%;383;62.18%;107;17.37%;49;7.95%;31;5.03%;616
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;19;5.44%;23;6.59%;197;56.45%;49;14.04%;40;11.46%;21;6.02%;349
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;12;5.06%;8;3.38%;110;46.41%;24;10.13%;17;7.17%;66;27.85%;237
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;3;3.45%;1;1.15%;61;70.11%;11;12.64%;3;3.45%;8;9.2%;87
CENTRO-OESTE;52;GO;520250;ARUANA;0;-;3;5.77%;34;65.38%;8;15.38%;4;7.69%;3;5.77%;52
