Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Risco de sobrepeso;;Sobrepeso;;Obesidade;;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;436;1.68%;668;2.58%;17.704;68.42%;4.401;17.01%;1.601;6.19%;1.066;4.12%;25.876
TOTAL ESTADO DISTRITO FEDERAL;;;;;436;1.68%;668;2.58%;17.704;68.42%;4.401;17.01%;1.601;6.19%;1.066;4.12%;25.876
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;18;3.63%;14;2.82%;306;61.69%;80;16.13%;44;8.87%;34;6.85%;496
CENTRO-OESTE;52;GO;520010;ABADIANIA;13;4.66%;16;5.73%;144;51.61%;46;16.49%;27;9.68%;33;11.83%;279
CENTRO-OESTE;52;GO;520013;ACREUNA;10;2.73%;11;3.01%;227;62.02%;70;19.13%;26;7.1%;22;6.01%;366
CENTRO-OESTE;52;GO;520015;ADELANDIA;3;2.8%;4;3.74%;77;71.96%;11;10.28%;6;5.61%;6;5.61%;107
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;8;2.88%;10;3.6%;189;67.99%;43;15.47%;20;7.19%;8;2.88%;278
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;0;-;2;2.33%;41;47.67%;19;22.09%;17;19.77%;7;8.14%;86
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;142;2.2%;196;3.04%;4.206;65.26%;1.122;17.41%;473;7.34%;306;4.75%;6.445
CENTRO-OESTE;52;GO;520030;ALEXANIA;33;3.43%;41;4.26%;596;61.95%;164;17.05%;75;7.8%;53;5.51%;962
CENTRO-OESTE;52;GO;520050;ALOANDIA;2;2.7%;1;1.35%;52;70.27%;10;13.51%;3;4.05%;6;8.11%;74
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;3;1.92%;6;3.85%;102;65.38%;23;14.74%;9;5.77%;13;8.33%;156
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;8;2.78%;8;2.78%;202;70.14%;37;12.85%;25;8.68%;8;2.78%;288
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;13;2.41%;20;3.71%;381;70.69%;81;15.03%;25;4.64%;19;3.53%;539
CENTRO-OESTE;52;GO;520082;AMARALINA;6;3.87%;8;5.16%;108;69.68%;23;14.84%;8;5.16%;2;1.29%;155
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;9;6.82%;3;2.27%;86;65.15%;14;10.61%;9;6.82%;11;8.33%;132
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;3;3.49%;1;1.16%;39;45.35%;12;13.95%;12;13.95%;19;22.09%;86
CENTRO-OESTE;52;GO;520110;ANAPOLIS;143;4.3%;143;4.3%;1.933;58.07%;558;16.76%;266;7.99%;286;8.59%;3.329
CENTRO-OESTE;52;GO;520120;ANHANGUERA;0;-;0;-;23;58.97%;11;28.21%;4;10.26%;1;2.56%;39
CENTRO-OESTE;52;GO;520130;ANICUNS;18;2.51%;16;2.23%;450;62.76%;136;18.97%;46;6.42%;51;7.11%;717
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;43;1.38%;47;1.5%;1.642;52.58%;717;22.96%;492;15.75%;182;5.83%;3.123
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;0;-;4;7.02%;39;68.42%;9;15.79%;2;3.51%;3;5.26%;57
CENTRO-OESTE;52;GO;520150;APORE;5;5.49%;3;3.3%;41;45.05%;23;25.27%;14;15.38%;5;5.49%;91
CENTRO-OESTE;52;GO;520160;ARACU;3;2.46%;3;2.46%;76;62.3%;23;18.85%;10;8.2%;7;5.74%;122
CENTRO-OESTE;52;GO;520170;ARAGARCAS;16;1.93%;29;3.5%;544;65.7%;150;18.12%;71;8.57%;18;2.17%;828
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;13;3.27%;11;2.77%;206;51.89%;88;22.17%;40;10.08%;39;9.82%;397
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;8;3.16%;16;6.32%;175;69.17%;33;13.04%;8;3.16%;13;5.14%;253
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;2;2.27%;2;2.27%;49;55.68%;24;27.27%;5;5.68%;6;6.82%;88
CENTRO-OESTE;52;GO;520250;ARUANA;2;3.64%;1;1.82%;37;67.27%;13;23.64%;2;3.64%;0;-;55
