Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Risco de sobrepeso;;Sobrepeso;;Obesidade;;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;1.451;1.7%;3.060;3.58%;61.204;71.62%;12.668;14.82%;4.388;5.14%;2.680;3.14%;85.451
TOTAL ESTADO DISTRITO FEDERAL;;;;;1.451;1.7%;3.060;3.58%;61.204;71.62%;12.668;14.82%;4.388;5.14%;2.680;3.14%;85.451
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;15;2.86%;26;4.96%;348;66.41%;82;15.65%;32;6.11%;21;4.01%;524
CENTRO-OESTE;52;GO;520010;ABADIANIA;9;1.46%;16;2.6%;375;60.88%;122;19.81%;55;8.93%;39;6.33%;616
CENTRO-OESTE;52;GO;520013;ACREUNA;16;2.59%;21;3.4%;394;63.75%;105;16.99%;51;8.25%;31;5.02%;618
CENTRO-OESTE;52;GO;520015;ADELANDIA;0;-;5;5.68%;67;76.14%;9;10.23%;4;4.55%;3;3.41%;88
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;8;3.03%;9;3.41%;147;55.68%;56;21.21%;24;9.09%;20;7.58%;264
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;4;4.35%;1;1.09%;45;48.91%;15;16.3%;12;13.04%;15;16.3%;92
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;252;2.27%;385;3.47%;7.417;66.77%;1.876;16.89%;763;6.87%;416;3.74%;11.109
CENTRO-OESTE;52;GO;520030;ALEXANIA;44;2.7%;67;4.11%;1.082;66.42%;273;16.76%;92;5.65%;71;4.36%;1.629
CENTRO-OESTE;52;GO;520050;ALOANDIA;1;2.08%;2;4.17%;18;37.5%;11;22.92%;6;12.5%;10;20.83%;48
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;5;1.42%;10;2.84%;240;68.18%;65;18.47%;16;4.55%;16;4.55%;352
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;9;1.54%;13;2.22%;335;57.17%;82;13.99%;72;12.29%;75;12.8%;586
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;18;3.69%;29;5.94%;336;68.85%;64;13.11%;23;4.71%;18;3.69%;488
CENTRO-OESTE;52;GO;520082;AMARALINA;0;-;8;5.41%;98;66.22%;24;16.22%;11;7.43%;7;4.73%;148
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;14;7.69%;7;3.85%;100;54.95%;34;18.68%;14;7.69%;13;7.14%;182
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;3;2.33%;5;3.88%;85;65.89%;14;10.85%;7;5.43%;15;11.63%;129
CENTRO-OESTE;52;GO;520110;ANAPOLIS;555;6.65%;390;4.68%;4.901;58.76%;1.234;14.8%;580;6.95%;680;8.15%;8.340
CENTRO-OESTE;52;GO;520120;ANHANGUERA;0;-;4;7.02%;35;61.4%;9;15.79%;7;12.28%;2;3.51%;57
CENTRO-OESTE;52;GO;520130;ANICUNS;16;1.72%;28;3.01%;624;67.02%;168;18.05%;63;6.77%;32;3.44%;931
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;210;1.45%;432;2.98%;8.493;58.63%;3.341;23.07%;1.165;8.04%;844;5.83%;14.485
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;6;3.47%;6;3.47%;119;68.79%;20;11.56%;15;8.67%;7;4.05%;173
CENTRO-OESTE;52;GO;520150;APORE;7;3.2%;6;2.74%;139;63.47%;34;15.53%;14;6.39%;19;8.68%;219
CENTRO-OESTE;52;GO;520160;ARACU;1;0.66%;5;3.31%;94;62.25%;24;15.89%;12;7.95%;15;9.93%;151
CENTRO-OESTE;52;GO;520170;ARAGARCAS;18;3.25%;17;3.07%;348;62.82%;95;17.15%;44;7.94%;32;5.78%;554
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;37;7.07%;22;4.21%;282;53.92%;88;16.83%;46;8.8%;48;9.18%;523
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;12;4.9%;13;5.31%;148;60.41%;37;15.1%;20;8.16%;15;6.12%;245
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;5;3.05%;6;3.66%;102;62.2%;23;14.02%;12;7.32%;16;9.76%;164
CENTRO-OESTE;52;GO;520250;ARUANA;3;0.85%;10;2.84%;121;34.38%;64;18.18%;61;17.33%;93;26.42%;352
