Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Risco de sobrepeso;;Sobrepeso;;Obesidade;;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;457;2.75%;515;3.1%;11.054;66.6%;2.585;15.58%;977;5.89%;1.009;6.08%;16.597
TOTAL ESTADO DISTRITO FEDERAL;;;;;457;2.75%;515;3.1%;11.054;66.6%;2.585;15.58%;977;5.89%;1.009;6.08%;16.597
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;1;0.74%;1;0.74%;54;40%;37;27.41%;9;6.67%;33;24.44%;135
CENTRO-OESTE;52;GO;520010;ABADIANIA;17;7%;11;4.53%;126;51.85%;38;15.64%;21;8.64%;30;12.35%;243
CENTRO-OESTE;52;GO;520013;ACREUNA;12;3.21%;13;3.48%;255;68.18%;47;12.57%;20;5.35%;27;7.22%;374
CENTRO-OESTE;52;GO;520015;ADELANDIA;3;2.83%;6;5.66%;79;74.53%;9;8.49%;5;4.72%;4;3.77%;106
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;9;3.83%;23;9.79%;155;65.96%;30;12.77%;8;3.4%;10;4.26%;235
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;1;1.75%;1;1.75%;31;54.39%;13;22.81%;8;14.04%;3;5.26%;57
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;151;3.52%;133;3.1%;2.681;62.54%;779;18.17%;275;6.41%;268;6.25%;4.287
CENTRO-OESTE;52;GO;520030;ALEXANIA;22;2.77%;16;2.02%;336;42.32%;142;17.88%;101;12.72%;177;22.29%;794
CENTRO-OESTE;52;GO;520050;ALOANDIA;2;2.67%;4;5.33%;45;60%;11;14.67%;5;6.67%;8;10.67%;75
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;1;0.89%;1;0.89%;76;67.86%;17;15.18%;7;6.25%;10;8.93%;112
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;15;2.7%;24;4.32%;375;67.45%;83;14.93%;27;4.86%;32;5.76%;556
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;13;2.19%;19;3.2%;402;67.68%;99;16.67%;35;5.89%;26;4.38%;594
CENTRO-OESTE;52;GO;520082;AMARALINA;9;4.37%;10;4.85%;112;54.37%;43;20.87%;19;9.22%;13;6.31%;206
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;7;4.12%;4;2.35%;99;58.24%;30;17.65%;13;7.65%;17;10%;170
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;8;9.52%;2;2.38%;47;55.95%;10;11.9%;10;11.9%;7;8.33%;84
CENTRO-OESTE;52;GO;520110;ANAPOLIS;200;3.73%;193;3.6%;2.989;55.79%;1.006;18.78%;499;9.31%;471;8.79%;5.358
CENTRO-OESTE;52;GO;520120;ANHANGUERA;0;-;2;6.45%;19;61.29%;4;12.9%;5;16.13%;1;3.23%;31
CENTRO-OESTE;52;GO;520130;ANICUNS;32;4.44%;19;2.64%;453;62.92%;126;17.5%;50;6.94%;40;5.56%;720
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;46;2.43%;46;2.43%;1.255;66.4%;344;18.2%;135;7.14%;64;3.39%;1.890
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;1;0.87%;3;2.61%;77;66.96%;25;21.74%;7;6.09%;2;1.74%;115
CENTRO-OESTE;52;GO;520150;APORE;3;7.32%;1;2.44%;22;53.66%;6;14.63%;4;9.76%;5;12.2%;41
CENTRO-OESTE;52;GO;520160;ARACU;3;2.08%;5;3.47%;87;60.42%;31;21.53%;11;7.64%;7;4.86%;144
CENTRO-OESTE;52;GO;520170;ARAGARCAS;3;0.65%;4;0.87%;343;74.4%;88;19.09%;15;3.25%;8;1.74%;461
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;22;5.13%;8;1.86%;247;57.58%;81;18.88%;37;8.62%;34;7.93%;429
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;2;1.3%;2;1.3%;49;31.82%;24;15.58%;7;4.55%;70;45.45%;154
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;7;6.09%;6;5.22%;66;57.39%;17;14.78%;12;10.43%;7;6.09%;115
CENTRO-OESTE;52;GO;520250;ARUANA;1;1.47%;4;5.88%;39;57.35%;11;16.18%;7;10.29%;6;8.82%;68
