Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Risco de sobrepeso;;Sobrepeso;;Obesidade;;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;531;2.28%;971;4.18%;16.355;70.34%;3.291;14.15%;1.207;5.19%;898;3.86%;23.253
TOTAL ESTADO DISTRITO FEDERAL;;;;;531;2.28%;971;4.18%;16.355;70.34%;3.291;14.15%;1.207;5.19%;898;3.86%;23.253
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;23;5.11%;16;3.56%;263;58.44%;75;16.67%;37;8.22%;36;8%;450
CENTRO-OESTE;52;GO;520010;ABADIANIA;9;3.5%;15;5.84%;141;54.86%;47;18.29%;20;7.78%;25;9.73%;257
CENTRO-OESTE;52;GO;520013;ACREUNA;9;2.41%;16;4.29%;265;71.05%;55;14.75%;15;4.02%;13;3.49%;373
CENTRO-OESTE;52;GO;520015;ADELANDIA;1;1.23%;2;2.47%;58;71.6%;9;11.11%;5;6.17%;6;7.41%;81
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;14;5.3%;12;4.55%;158;59.85%;40;15.15%;18;6.82%;22;8.33%;264
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;1;1.41%;2;2.82%;50;70.42%;9;12.68%;7;9.86%;2;2.82%;71
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;213;3.14%;336;4.95%;4.742;69.88%;933;13.75%;348;5.13%;214;3.15%;6.786
CENTRO-OESTE;52;GO;520030;ALEXANIA;34;3.41%;38;3.81%;669;67.1%;144;14.44%;53;5.32%;59;5.92%;997
CENTRO-OESTE;52;GO;520050;ALOANDIA;2;3.39%;3;5.08%;14;23.73%;8;13.56%;8;13.56%;24;40.68%;59
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;6;3.16%;7;3.68%;114;60%;29;15.26%;16;8.42%;18;9.47%;190
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;17;6.46%;12;4.56%;155;58.94%;38;14.45%;16;6.08%;25;9.51%;263
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;11;2.17%;41;8.07%;356;70.08%;56;11.02%;28;5.51%;16;3.15%;508
CENTRO-OESTE;52;GO;520082;AMARALINA;5;3.55%;10;7.09%;94;66.67%;22;15.6%;2;1.42%;8;5.67%;141
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;10;7.63%;4;3.05%;76;58.02%;15;11.45%;13;9.92%;13;9.92%;131
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;4;4.35%;4;4.35%;45;48.91%;18;19.57%;11;11.96%;10;10.87%;92
CENTRO-OESTE;52;GO;520110;ANAPOLIS;180;5.13%;167;4.76%;2.068;58.93%;525;14.96%;273;7.78%;296;8.44%;3.509
CENTRO-OESTE;52;GO;520120;ANHANGUERA;0;-;0;-;15;65.22%;4;17.39%;3;13.04%;1;4.35%;23
CENTRO-OESTE;52;GO;520130;ANICUNS;21;3.34%;27;4.29%;388;61.69%;115;18.28%;39;6.2%;39;6.2%;629
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;57;3.17%;82;4.57%;944;52.56%;321;17.87%;152;8.46%;240;13.36%;1.796
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;2;1.54%;2;1.54%;78;60%;31;23.85%;9;6.92%;8;6.15%;130
CENTRO-OESTE;52;GO;520150;APORE;3;2.88%;1;0.96%;58;55.77%;23;22.12%;10;9.62%;9;8.65%;104
CENTRO-OESTE;52;GO;520160;ARACU;2;2.5%;0;-;52;65%;12;15%;7;8.75%;7;8.75%;80
CENTRO-OESTE;52;GO;520170;ARAGARCAS;45;7.43%;26;4.29%;424;69.97%;65;10.73%;25;4.13%;21;3.47%;606
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;12;3.35%;20;5.59%;224;62.57%;51;14.25%;23;6.42%;28;7.82%;358
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;5;2.96%;9;5.33%;117;69.23%;16;9.47%;8;4.73%;14;8.28%;169
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;4;7.55%;2;3.77%;36;67.92%;6;11.32%;3;5.66%;2;3.77%;53
CENTRO-OESTE;52;GO;520250;ARUANA;3;3.8%;4;5.06%;54;68.35%;5;6.33%;7;8.86%;6;7.59%;79
