Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Risco de sobrepeso;;Sobrepeso;;Obesidade;;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;1.255;1.77%;2.623;3.7%;50.460;71.23%;10.554;14.9%;3.513;4.96%;2.439;3.44%;70.844
TOTAL ESTADO DISTRITO FEDERAL;;;;;1.255;1.77%;2.623;3.7%;50.460;71.23%;10.554;14.9%;3.513;4.96%;2.439;3.44%;70.844
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;6;1.2%;22;4.4%;337;67.4%;77;15.4%;32;6.4%;26;5.2%;500
CENTRO-OESTE;52;GO;520010;ABADIANIA;14;4.62%;19;6.27%;166;54.79%;45;14.85%;35;11.55%;24;7.92%;303
CENTRO-OESTE;52;GO;520013;ACREUNA;15;4.36%;16;4.65%;196;56.98%;76;22.09%;26;7.56%;15;4.36%;344
CENTRO-OESTE;52;GO;520015;ADELANDIA;3;3.53%;4;4.71%;51;60%;17;20%;7;8.24%;3;3.53%;85
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;7;2.95%;2;0.84%;120;50.63%;44;18.57%;22;9.28%;42;17.72%;237
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;1;1.47%;3;4.41%;36;52.94%;13;19.12%;6;8.82%;9;13.24%;68
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;212;2.26%;333;3.55%;6.422;68.55%;1.507;16.08%;548;5.85%;347;3.7%;9.369
CENTRO-OESTE;52;GO;520030;ALEXANIA;49;3.16%;64;4.12%;1.037;66.77%;234;15.07%;90;5.8%;79;5.09%;1.553
CENTRO-OESTE;52;GO;520050;ALOANDIA;2;7.14%;1;3.57%;19;67.86%;2;7.14%;2;7.14%;2;7.14%;28
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;9;2.22%;14;3.46%;276;68.15%;61;15.06%;20;4.94%;25;6.17%;405
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;22;6.11%;23;6.39%;260;72.22%;36;10%;11;3.06%;8;2.22%;360
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;21;4.66%;38;8.43%;300;66.52%;47;10.42%;23;5.1%;22;4.88%;451
CENTRO-OESTE;52;GO;520082;AMARALINA;2;1.5%;4;3.01%;96;72.18%;16;12.03%;10;7.52%;5;3.76%;133
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;10;6.37%;6;3.82%;93;59.24%;22;14.01%;13;8.28%;13;8.28%;157
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;3;2.54%;3;2.54%;66;55.93%;26;22.03%;13;11.02%;7;5.93%;118
CENTRO-OESTE;52;GO;520110;ANAPOLIS;215;3.92%;239;4.36%;3.369;61.49%;847;15.46%;409;7.46%;400;7.3%;5.479
CENTRO-OESTE;52;GO;520120;ANHANGUERA;2;2.56%;3;3.85%;52;66.67%;13;16.67%;6;7.69%;2;2.56%;78
CENTRO-OESTE;52;GO;520130;ANICUNS;18;1.94%;26;2.81%;622;67.17%;166;17.93%;54;5.83%;40;4.32%;926
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;274;3.1%;402;4.54%;5.851;66.14%;1.410;15.94%;549;6.21%;360;4.07%;8.846
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;3;1.55%;4;2.07%;134;69.43%;29;15.03%;14;7.25%;9;4.66%;193
CENTRO-OESTE;52;GO;520150;APORE;2;0.88%;5;2.2%;131;57.71%;57;25.11%;20;8.81%;12;5.29%;227
CENTRO-OESTE;52;GO;520160;ARACU;0;-;2;1.33%;94;62.67%;31;20.67%;14;9.33%;9;6%;150
CENTRO-OESTE;52;GO;520170;ARAGARCAS;28;4.86%;21;3.65%;348;60.42%;98;17.01%;41;7.12%;40;6.94%;576
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;12;3.11%;22;5.7%;169;43.78%;77;19.95%;41;10.62%;65;16.84%;386
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;16;8.65%;7;3.78%;102;55.14%;23;12.43%;13;7.03%;24;12.97%;185
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;2;1.26%;7;4.4%;101;63.52%;23;14.47%;10;6.29%;16;10.06%;159
CENTRO-OESTE;52;GO;520250;ARUANA;5;2.36%;3;1.42%;73;34.43%;30;14.15%;25;11.79%;76;35.85%;212
