Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Risco de sobrepeso;;Sobrepeso;;Obesidade;;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;554;1.48%;1.369;3.67%;26.552;71.16%;5.903;15.82%;1.901;5.09%;1.033;2.77%;37.312
TOTAL ESTADO DISTRITO FEDERAL;;;;;554;1.48%;1.369;3.67%;26.552;71.16%;5.903;15.82%;1.901;5.09%;1.033;2.77%;37.312
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;4;3.03%;2;1.52%;87;65.91%;25;18.94%;5;3.79%;9;6.82%;132
CENTRO-OESTE;52;GO;520010;ABADIANIA;9;4.41%;13;6.37%;110;53.92%;26;12.75%;23;11.27%;23;11.27%;204
CENTRO-OESTE;52;GO;520013;ACREUNA;2;0.98%;2;0.98%;146;71.57%;38;18.63%;9;4.41%;7;3.43%;204
CENTRO-OESTE;52;GO;520015;ADELANDIA;0;-;4;4.94%;49;60.49%;17;20.99%;8;9.88%;3;3.7%;81
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;14;6.86%;10;4.9%;109;53.43%;27;13.24%;21;10.29%;23;11.27%;204
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;1;2.04%;2;4.08%;26;53.06%;8;16.33%;8;16.33%;4;8.16%;49
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;124;2.32%;233;4.37%;3.616;67.77%;857;16.06%;324;6.07%;182;3.41%;5.336
CENTRO-OESTE;52;GO;520030;ALEXANIA;0;-;3;2.52%;86;72.27%;17;14.29%;7;5.88%;6;5.04%;119
CENTRO-OESTE;52;GO;520050;ALOANDIA;4;15.38%;4;15.38%;11;42.31%;4;15.38%;2;7.69%;1;3.85%;26
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;1;0.83%;4;3.33%;77;64.17%;14;11.67%;12;10%;12;10%;120
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;32;16.84%;13;6.84%;108;56.84%;20;10.53%;10;5.26%;7;3.68%;190
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;2;0.88%;3;1.32%;168;74.01%;37;16.3%;14;6.17%;3;1.32%;227
CENTRO-OESTE;52;GO;520082;AMARALINA;4;5.63%;3;4.23%;51;71.83%;10;14.08%;3;4.23%;0;-;71
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;1;7.69%;0;-;5;38.46%;0;-;1;7.69%;6;46.15%;13
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;0;-;1;1.69%;22;37.29%;14;23.73%;13;22.03%;9;15.25%;59
CENTRO-OESTE;52;GO;520110;ANAPOLIS;120;4.77%;127;5.05%;1.434;57.02%;394;15.67%;201;7.99%;239;9.5%;2.515
CENTRO-OESTE;52;GO;520120;ANHANGUERA;4;9.52%;1;2.38%;29;69.05%;6;14.29%;1;2.38%;1;2.38%;42
CENTRO-OESTE;52;GO;520130;ANICUNS;23;4.13%;14;2.51%;311;55.83%;108;19.39%;58;10.41%;43;7.72%;557
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;39;3.62%;46;4.27%;732;67.9%;166;15.4%;58;5.38%;37;3.43%;1.078
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;1;3.7%;1;3.7%;13;48.15%;5;18.52%;3;11.11%;4;14.81%;27
CENTRO-OESTE;52;GO;520150;APORE;3;2.91%;4;3.88%;51;49.51%;23;22.33%;14;13.59%;8;7.77%;103
CENTRO-OESTE;52;GO;520160;ARACU;0;-;2;6.45%;21;67.74%;4;12.9%;2;6.45%;2;6.45%;31
CENTRO-OESTE;52;GO;520170;ARAGARCAS;7;3.65%;9;4.69%;134;69.79%;22;11.46%;6;3.13%;14;7.29%;192
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;10;5.56%;17;9.44%;93;51.67%;28;15.56%;15;8.33%;17;9.44%;180
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;4;4.21%;2;2.11%;72;75.79%;7;7.37%;1;1.05%;9;9.47%;95
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;9;12.5%;1;1.39%;43;59.72%;12;16.67%;4;5.56%;3;4.17%;72
CENTRO-OESTE;52;GO;520250;ARUANA;0;-;1;25%;1;25%;1;25%;1;25%;0;-;4
CENTRO-OESTE;52;GO;520260;AURILANDIA;0;-;3;8.82%;27;79.41%;2;5.88%;0;-;2;5.88%;34
