Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Risco de sobrepeso;;Sobrepeso;;Obesidade;;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;1.853;2%;3.473;3.76%;65.404;70.75%;13.647;14.76%;4.862;5.26%;3.204;3.47%;92.443
TOTAL ESTADO DISTRITO FEDERAL;;;;;1.853;2%;3.473;3.76%;65.404;70.75%;13.647;14.76%;4.862;5.26%;3.204;3.47%;92.443
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;18;2.26%;44;5.53%;544;68.43%;116;14.59%;39;4.91%;34;4.28%;795
CENTRO-OESTE;52;GO;520010;ABADIANIA;14;2.2%;28;4.4%;420;65.93%;96;15.07%;53;8.32%;26;4.08%;637
CENTRO-OESTE;52;GO;520013;ACREUNA;20;3.37%;17;2.86%;381;64.14%;99;16.67%;47;7.91%;30;5.05%;594
CENTRO-OESTE;52;GO;520015;ADELANDIA;3;4.41%;1;1.47%;43;63.24%;10;14.71%;2;2.94%;9;13.24%;68
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;7;2.94%;8;3.36%;142;59.66%;41;17.23%;22;9.24%;18;7.56%;238
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;2;2.22%;2;2.22%;55;61.11%;16;17.78%;8;8.89%;7;7.78%;90
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;278;2.38%;402;3.44%;7.907;67.73%;1.953;16.73%;766;6.56%;368;3.15%;11.674
CENTRO-OESTE;52;GO;520030;ALEXANIA;34;2.29%;68;4.58%;978;65.81%;229;15.41%;105;7.07%;72;4.85%;1.486
CENTRO-OESTE;52;GO;520050;ALOANDIA;0;-;2;4.35%;16;34.78%;14;30.43%;6;13.04%;8;17.39%;46
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;4;1.09%;13;3.53%;248;67.39%;75;20.38%;20;5.43%;8;2.17%;368
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;12;1.95%;15;2.44%;454;73.94%;85;13.84%;27;4.4%;21;3.42%;614
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;10;2.16%;27;5.84%;318;68.83%;71;15.37%;22;4.76%;14;3.03%;462
CENTRO-OESTE;52;GO;520082;AMARALINA;2;1.24%;5;3.11%;120;74.53%;25;15.53%;5;3.11%;4;2.48%;161
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;8;4.49%;6;3.37%;110;61.8%;34;19.1%;11;6.18%;9;5.06%;178
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;2;2.63%;4;5.26%;41;53.95%;9;11.84%;7;9.21%;13;17.11%;76
CENTRO-OESTE;52;GO;520110;ANAPOLIS;526;4.59%;442;3.86%;6.950;60.68%;1.791;15.64%;862;7.53%;882;7.7%;11.453
CENTRO-OESTE;52;GO;520120;ANHANGUERA;3;5.66%;0;-;33;62.26%;8;15.09%;4;7.55%;5;9.43%;53
CENTRO-OESTE;52;GO;520130;ANICUNS;21;2.31%;30;3.3%;647;71.18%;145;15.95%;44;4.84%;22;2.42%;909
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;134;0.82%;420;2.58%;10.096;61.93%;2.684;16.47%;1.945;11.93%;1.022;6.27%;16.301
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;9;6.38%;6;4.26%;95;67.38%;16;11.35%;9;6.38%;6;4.26%;141
CENTRO-OESTE;52;GO;520150;APORE;5;2.75%;5;2.75%;122;67.03%;31;17.03%;13;7.14%;6;3.3%;182
CENTRO-OESTE;52;GO;520160;ARACU;2;1.4%;4;2.8%;86;60.14%;20;13.99%;16;11.19%;15;10.49%;143
CENTRO-OESTE;52;GO;520170;ARAGARCAS;15;2.48%;14;2.31%;309;51.07%;72;11.9%;33;5.45%;162;26.78%;605
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;20;3.76%;19;3.57%;330;62.03%;83;15.6%;43;8.08%;37;6.95%;532
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;21;7.75%;25;9.23%;158;58.3%;37;13.65%;18;6.64%;12;4.43%;271
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;2;1.32%;5;3.29%;81;53.29%;31;20.39%;24;15.79%;9;5.92%;152
CENTRO-OESTE;52;GO;520250;ARUANA;7;2.44%;10;3.48%;163;56.79%;60;20.91%;29;10.1%;18;6.27%;287
