Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Risco de sobrepeso;;Sobrepeso;;Obesidade;;Total
;;;;;acentuada;;;;;;;;;;;;
;;;;;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;Quantidade;%;
CENTRO-OESTE;53;DF;530010;BRASILIA;615;2.56%;662;2.76%;15.887;66.21%;4.041;16.84%;1.421;5.92%;1.369;5.71%;23.995
TOTAL ESTADO DISTRITO FEDERAL;;;;;615;2.56%;662;2.76%;15.887;66.21%;4.041;16.84%;1.421;5.92%;1.369;5.71%;23.995
CENTRO-OESTE;52;GO;520005;ABADIA DE GOIAS;6;5.08%;4;3.39%;48;40.68%;21;17.8%;19;16.1%;20;16.95%;118
CENTRO-OESTE;52;GO;520010;ABADIANIA;9;4.74%;10;5.26%;105;55.26%;23;12.11%;24;12.63%;19;10%;190
CENTRO-OESTE;52;GO;520013;ACREUNA;34;7.71%;34;7.71%;234;53.06%;61;13.83%;32;7.26%;46;10.43%;441
CENTRO-OESTE;52;GO;520015;ADELANDIA;5;10%;3;6%;36;72%;3;6%;1;2%;2;4%;50
CENTRO-OESTE;52;GO;520017;AGUA FRIA DE GOIAS;12;6.42%;17;9.09%;115;61.5%;21;11.23%;11;5.88%;11;5.88%;187
CENTRO-OESTE;52;GO;520020;AGUA LIMPA;1;2.33%;2;4.65%;24;55.81%;8;18.6%;3;6.98%;5;11.63%;43
CENTRO-OESTE;52;GO;520025;AGUAS LINDAS DE GOIAS;135;4.48%;108;3.58%;1.765;58.58%;444;14.74%;233;7.73%;328;10.89%;3.013
CENTRO-OESTE;52;GO;520030;ALEXANIA;29;3.92%;30;4.05%;412;55.68%;121;16.35%;59;7.97%;89;12.03%;740
CENTRO-OESTE;52;GO;520050;ALOANDIA;0;-;2;3.08%;29;44.62%;10;15.38%;12;18.46%;12;18.46%;65
CENTRO-OESTE;52;GO;520055;ALTO HORIZONTE;3;3.85%;2;2.56%;52;66.67%;10;12.82%;7;8.97%;4;5.13%;78
CENTRO-OESTE;52;GO;520060;ALTO PARAISO DE GOIAS;17;9.24%;8;4.35%;111;60.33%;23;12.5%;11;5.98%;14;7.61%;184
CENTRO-OESTE;52;GO;520080;ALVORADA DO NORTE;18;6.79%;7;2.64%;178;67.17%;36;13.58%;13;4.91%;13;4.91%;265
CENTRO-OESTE;52;GO;520082;AMARALINA;4;4.3%;3;3.23%;57;61.29%;18;19.35%;8;8.6%;3;3.23%;93
CENTRO-OESTE;52;GO;520085;AMERICANO DO BRASIL;8;5.06%;5;3.16%;79;50%;37;23.42%;17;10.76%;12;7.59%;158
CENTRO-OESTE;52;GO;520090;AMORINOPOLIS;16;15.69%;7;6.86%;38;37.25%;16;15.69%;17;16.67%;8;7.84%;102
CENTRO-OESTE;52;GO;520110;ANAPOLIS;216;3.94%;197;3.59%;3.184;58.03%;946;17.24%;476;8.68%;468;8.53%;5.487
CENTRO-OESTE;52;GO;520120;ANHANGUERA;0;-;0;-;5;62.5%;2;25%;1;12.5%;0;-;8
CENTRO-OESTE;52;GO;520130;ANICUNS;22;5.76%;17;4.45%;194;50.79%;69;18.06%;30;7.85%;50;13.09%;382
CENTRO-OESTE;52;GO;520140;APARECIDA DE GOIANIA;63;1.22%;50;0.97%;4.373;84.57%;400;7.74%;156;3.02%;129;2.49%;5.171
CENTRO-OESTE;52;GO;520145;APARECIDA DO RIO DOCE;0;-;2;5.13%;16;41.03%;8;20.51%;5;12.82%;8;20.51%;39
CENTRO-OESTE;52;GO;520150;APORE;1;1.41%;0;-;47;66.2%;11;15.49%;8;11.27%;4;5.63%;71
CENTRO-OESTE;52;GO;520160;ARACU;1;0.96%;4;3.85%;49;47.12%;24;23.08%;16;15.38%;10;9.62%;104
CENTRO-OESTE;52;GO;520170;ARAGARCAS;52;14.33%;14;3.86%;196;53.99%;45;12.4%;18;4.96%;38;10.47%;363
CENTRO-OESTE;52;GO;520180;ARAGOIANIA;31;12.3%;13;5.16%;125;49.6%;43;17.06%;22;8.73%;18;7.14%;252
CENTRO-OESTE;52;GO;520215;ARAGUAPAZ;3;1.96%;8;5.23%;72;47.06%;50;32.68%;14;9.15%;6;3.92%;153
CENTRO-OESTE;52;GO;520235;ARENOPOLIS;1;0.95%;1;0.95%;75;71.43%;22;20.95%;4;3.81%;2;1.9%;105
CENTRO-OESTE;52;GO;520250;ARUANA;1;0.72%;9;6.47%;83;59.71%;27;19.42%;13;9.35%;6;4.32%;139
CENTRO-OESTE;52;GO;520260;AURILANDIA;2;1.92%;2;1.92%;61;58.65%;14;13.46%;16;15.38%;9;8.65%;104
